Datum,Turnier,Serie,Court,Belag,Runde,BestOf,Sieger,Verlierer,SRang,VRang,S1,V1,S2,V2,S3,V3,S4,V4,S5,V5,SSaetze,VSaetze,SSpiele,VSpiele,Status,QuoteS,QuoteV
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Fritz T.,Diaz Acosta F.,12,90,4,6,6,3,3,6,6,2,6,4,3,2,25,21,Completed,1.03,14.76
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Galan D.E.,Kubler J.,87,113,2,6,6,3,7,6,4,6,7,6,3,2,26,27,Completed,2.46,1.55
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Halys Q.,Harris L.,110,167,4,6,7,6,7,5,7,6,,,3,1,25,23,Completed,3.34,1.33
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Prizmic D.,1,187,6,2,6,7,6,3,6,4,,,3,1,24,16,Completed,1.01,21.89
2024-01-14,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Tiafoe F.,Coric B.,17,40,6,3,7,6,2,6,6,3,,,3,1,21,18,Completed,1.54,2.48
2024-01-15,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Korda S.,Kopriva V.,26,132,6,1,6,4,2,6,4,6,6,2,3,2,24,19,Completed,1.08,8.5
2024-01-15,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Ruusuvuori E.,Kypson P.,53,183,4,6,6,3,6,4,7,6,,,3,1,23,19,Completed,1.11,6.76
2024-01-15,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Musetti L.,Bonzi B.,28,106,7,6,7,6,4,6,6,2,,,3,1,24,20,Completed,1.35,3.25
2024-01-15,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Cobolli F.,Jarry N.,100,18,6,4,3,6,6,3,2,6,7,5,3,2,24,24,Completed,4.24,1.23
2024-01-15,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Gaston H.,Carballes Baena R.,97,63,6,3,6,2,3,6,6,4,,,3,1,21,15,Completed,2.29,1.63
2024-01-15,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Medvedev D.,Atmane T.,3,144,5,7,6,2,6,4,1,0,,,2,1,18,13,Retired,1.02,17.02
2024-01-15,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Shelton B.,Bautista Agut R.,16,72,6,2,7,6,7,5,,,,,3,,20,13,Completed,1.42,2.9
2024-01-15,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Davidovich Fokina A.,Lestienne C.,24,99,6,4,6,4,7,6,,,,,3,,19,14,Completed,1.19,4.82
2024-01-15,Australian Open,Grand Slam,Outdoor,Hard,1st Round,5,Popyrin A.,Polmans M.,43,154,6,3,7,6,6,2,,,,,3,,19,11,Completed,1.17,5.03
